id,x_coord,y_coord,Elevation1
42964,-52924.815,-144621.228,2.61590647697449
42965,-52924.815,-144871.228,5.63441610336304
42966,-52924.815,-145121.228,6.66175842285156
42967,-52924.815,-145371.228,0.5
42968,-52924.815,-145621.228,0.400000005960464
42969,-52924.815,-145871.228,0.300000011920929
42970,-52924.815,-146121.228,0.302548080682755
42971,-52924.815,-146371.228,0.113458387553692
42972,-52924.815,-146621.228,0.5
42973,-52924.815,-146871.228,1
42974,-52924.815,-147121.228,1.12320399284363
42975,-52924.815,-147371.228,1.08445501327515
42976,-52924.815,-147621.228,0.850223422050476
42977,-52924.815,-147871.228,0.100000001490116
42979,-52924.815,-148371.228,1.61340701580048
42980,-52924.815,-148621.228,0.864184439182281
43311,-52674.815,-144371.228,3.73741006851196
43312,-52674.815,-144621.228,4.94993352890015
43313,-52674.815,-144871.228,5.13857412338257
43314,-52674.815,-145121.228,2.19929575920105
43315,-52674.815,-145371.228,0.804872155189514
43316,-52674.815,-145621.228,0.800000011920929
43317,-52674.815,-145871.228,0.899999976158142
43318,-52674.815,-146121.228,0.945688128471375
43319,-52674.815,-146371.228,1.20000004768372
43320,-52674.815,-146621.228,1.86014938354492
43321,-52674.815,-146871.228,1.67149865627289
43322,-52674.815,-147121.228,1.49434530735016
43323,-52674.815,-147371.228,1.39721572399139
43324,-52674.815,-147621.228,0.0762495398521423
43325,-52674.815,-147871.228,0
43326,-52674.815,-148121.228,0.246939018368721
43327,-52674.815,-148371.228,1.3736743927002
43328,-52674.815,-148621.228,0.800000011920929
43329,-52674.815,-148871.228,0.100000001490116
43659,-52424.815,-144371.228,3.36774325370789
43660,-52424.815,-144621.228,3.70000004768372
43661,-52424.815,-144871.228,3.89468002319336
43662,-52424.815,-145121.228,1.29999995231628
43663,-52424.815,-145371.228,1.29999995231628
43664,-52424.815,-145621.228,1.20937073230743
43665,-52424.815,-145871.228,0.899999976158142
